weight logl phys_par
1.367295249217521137e-08 -8.348892497468057172e+01 1.333520334232042970e+00
1.483447466412838444e-08 -8.340489074423616955e+01 1.339392617579195477e+00
1.526945442348627995e-08 -8.337349019548894091e+01 1.341589104773805108e+00
1.539408926478426020e-08 -8.336286096366025333e+01 1.342332900892144742e+00
1.541455299969512026e-08 -8.335903252226094651e+01 1.342600835795782377e+00
1.627548313012793818e-08 -8.330218471236038624e+01 3.689136937967740337e+00
1.662655599185682179e-08 -8.327834340977187821e+01 3.688450312422654420e+00
1.792837739887798707e-08 -8.320045979834472405e+01 1.353714505958826919e+00
1.936108025237697667e-08 -8.312107970697761061e+01 3.683901128708025219e+00
2.027108917886988167e-08 -8.307264889286834375e+01 3.682493101194668217e+00
2.051088826439759384e-08 -8.305838870543851726e+01 1.363698137620944717e+00
2.073924481158117037e-08 -8.304481679546154282e+01 1.364653180557233281e+00
2.335842518443086243e-08 -8.292338684479186384e+01 1.373208361782314757e+00
2.548019654088146481e-08 -8.283394304121975438e+01 3.675503744803239492e+00
2.662954954952218283e-08 -8.278732310089782231e+01 3.674128973845689483e+00
2.712122886708144123e-08 -8.276652781117570612e+01 3.673514705424195004e+00
2.732624707574642618e-08 -8.275649691377151385e+01 1.384996668630873895e+00
3.129502862368786119e-08 -8.261838533041218113e+01 3.669120055211631204e+00
3.391642353753271655e-08 -8.253544521822699664e+01 1.400665279243376915e+00
3.874011696095762670e-08 -8.239996890832863130e+01 1.410299230889154654e+00
3.993083088012927811e-08 -8.236719585615274752e+01 1.412633363354663718e+00
4.043798655082161803e-08 -8.235207498107192237e+01 1.413710761582094744e+00
4.104102206203403658e-08 -8.233477248083127620e+01 1.414943972850893683e+00
4.127357763165083584e-08 -8.232662205698858315e+01 1.415525018684477665e+00
4.410433005046457695e-08 -8.225778662071122938e+01 1.420435794827532572e+00
4.772911892949294271e-08 -8.217630291405200182e+01 1.426256987487933170e+00
4.793695027621956001e-08 -8.216945797387803907e+01 1.426746390262995767e+00
5.092714329146256074e-08 -8.210644853698636325e+01 1.431254397372661469e+00
5.442523157387213751e-08 -8.203751672340052892e+01 1.436192196777455798e+00
5.430906653642504037e-08 -8.203715340122272437e+01 1.436218239557319976e+00
5.751175239736951891e-08 -8.197735526899127478e+01 3.649713040038264911e+00
5.806768916835089294e-08 -8.196523520073505154e+01 1.441376807439413987e+00
6.179598851993330997e-08 -8.190050613375318278e+01 1.446025694962106201e+00
7.006685063043457873e-08 -8.177239479010475520e+01 3.643368217400101639e+00
6.998965285599953377e-08 -8.177099717064876927e+01 1.455344284138519573e+00
7.073157214481191272e-08 -8.175795254721703031e+01 3.642918490240470764e+00
7.159867438005298972e-08 -8.174326802587921748e+01 1.457342482553114937e+00
7.354360259874850454e-08 -8.171396612246743985e+01 1.459455171805027707e+00
8.368394536224458097e-08 -8.158229743801379641e+01 1.468963338131611174e+00
8.421294176423503873e-08 -8.157349597332898838e+01 3.637143354119232175e+00
8.454379928302996267e-08 -8.156707485064484331e+01 1.470064170414087545e+00
8.735123157224602598e-08 -8.153190744966710213e+01 1.472608575660056651e+00
9.045422469194828449e-08 -8.149450066719458619e+01 1.475316923319554885e+00
9.303814999451494935e-08 -8.146383496139648628e+01 1.477538681914295271e+00
9.316601949891576459e-08 -8.145996152787080291e+01 1.477819410990290017e+00
9.692422573736005809e-08 -8.141791509016982786e+01 3.632226560932354964e+00
1.088226626987797079e-07 -8.129962497583450443e+01 1.489458769955334994e+00
1.162266865132934410e-07 -8.123130210719615718e+01 1.494429859701494223e+00
1.216693825640798030e-07 -8.118303719831962439e+01 1.497945674065403576e+00
1.342626073881819579e-07 -8.108204694666801515e+01 1.505313347182208439e+00
1.379588293089531895e-07 -8.105238928312479629e+01 1.507479883079437588e+00
1.399988771925105900e-07 -8.103521018290570055e+01 1.508735443742514004e+00
1.504357633342874803e-07 -8.096080841405381534e+01 1.514178335825263400e+00
1.531869687538337766e-07 -8.094018539209426422e+01 1.515688502815409677e+00
1.538205085894105764e-07 -8.093355819141265783e+01 1.516173931544242404e+00
1.536169314930253534e-07 -8.093238253971640006e+01 1.516260052570229888e+00
1.711558327678077324e-07 -8.082177014117522162e+01 1.524372286583144387e+00
1.718145495259363215e-07 -8.081542889072272828e+01 1.524837919037089318e+00
2.273996414899337095e-07 -8.053263558067557426e+01 1.545667147099121230e+00
2.454642578161920138e-07 -8.045369323813734752e+01 1.551504397107705824e+00
2.549027964252191330e-07 -8.041346230343182810e+01 3.599411459137702440e+00
2.786113409646169708e-07 -8.032202681793219767e+01 1.561262834195976890e+00
2.864067532938303914e-07 -8.029193157068431219e+01 1.563497354092473035e+00
2.869200990847700179e-07 -8.028764080883181009e+01 1.563816058419528421e+00
3.045434155857324938e-07 -8.022553092852264456e+01 1.568432832138829003e+00
3.142143776363655845e-07 -8.019176910115010060e+01 1.570945147314752433e+00
3.275150085549741945e-07 -8.014781070375532579e+01 1.574219109406433059e+00
3.400860497391983849e-07 -8.010764591237214916e+01 1.577213405206268515e+00
3.880652038179473939e-07 -7.997317120884790143e+01 1.587258753818369783e+00
3.894419911017383395e-07 -7.996712966291282498e+01 1.587710799389316474e+00
4.317358360735993375e-07 -7.986153067479222045e+01 1.595622401800580459e+00
4.325525301350243157e-07 -7.985714080947312254e+01 3.580369617948039540e+00
4.368940894239543894e-07 -7.984465377800486863e+01 1.596888673103809886e+00
4.466804749723018136e-07 -7.982000106751324608e+01 1.598739278448104262e+00
4.474273205509330951e-07 -7.981583047308141943e+01 3.578928973451944273e+00
4.509846406339283275e-07 -7.980541130275065598e+01 3.578565017745087395e+00
4.559665205672937007e-07 -7.979192519841889464e+01 1.600848179385426562e+00
4.739569962427555123e-07 -7.975072799307631044e+01 3.576650866376718696e+00
5.151043024662972375e-07 -7.966497517621108670e+01 1.610401799446092852e+00
5.677914196773855785e-07 -7.956509045302740901e+01 1.617939470411653424e+00
6.078633552641071881e-07 -7.949439447335345221e+01 1.623285738596599082e+00
6.294050008311926803e-07 -7.945706965543628542e+01 1.626112186887831879e+00
6.721503832581964011e-07 -7.938886248533182766e+01 1.631284113727599294e+00
7.030379476969943930e-07 -7.934143371542120349e+01 1.634885780466103888e+00
7.307168573451880566e-07 -7.930031853676665321e+01 1.638011552861508680e+00
7.871833551053423437e-07 -7.922338338434404648e+01 1.643869476123015705e+00
7.911413626858452704e-07 -7.921586791974057462e+01 3.557563550522932605e+00
8.224789566205707099e-07 -7.917452168777296606e+01 3.556059517889275323e+00
8.478061997930654032e-07 -7.914169251373610336e+01 1.650102424180219796e+00
8.598949206389687394e-07 -7.912503438895055297e+01 1.651375076854738833e+00
1.008885381474174341e-06 -7.896274316768865731e+01 3.548288711783702976e+00
1.013469704027968307e-06 -7.895570951240839008e+01 3.548028672181446019e+00
1.123061078585726187e-06 -7.885053124340258535e+01 3.544124894810917414e+00
1.136876396005509317e-06 -7.883580480822544700e+01 1.673563088320754400e+00
1.151313976114968180e-06 -7.882068542840279690e+01 3.543011890843791534e+00
1.183715734367311071e-06 -7.879043088802822581e+01 1.677059943746645576e+00
1.244607450625114802e-06 -7.873776912695097963e+01 1.681124044200998036e+00
1.259653330796612559e-06 -7.872325275762861452e+01 3.539362070333175403e+00
1.336821700086310753e-06 -7.866129437542062419e+01 1.687036694835060135e+00
1.358230307534844881e-06 -7.864290669851266102e+01 3.536333213918525065e+00
1.434798356332472266e-06 -7.858556498534446177e+01 1.692904512582402710e+00
1.450267294826920633e-06 -7.857234142574354507e+01 1.693930447367623326e+00
1.495623206204094737e-06 -7.853904632612950820e+01 1.696515362364082513e+00
1.510984281691101659e-06 -7.852632802579768168e+01 1.697503431567813248e+00
1.777515213446024624e-06 -7.836137286488786913e+01 1.710352376773883520e+00
2.054079255564297775e-06 -7.821426160972407615e+01 1.721865509753975232e+00
2.140818250589356876e-06 -7.817040119040596835e+01 1.725308208167165347e+00
2.228518451392296155e-06 -7.812775231334073567e+01 3.516485493206101154e+00
2.248372539328540741e-06 -7.811638266780398965e+01 1.729554737681344712e+00
2.308966552392964466e-06 -7.808728926193423092e+01 1.731844841732947060e+00
2.612911866367479800e-06 -7.796112404938401141e+01 3.509899765554099105e+00
3.000730553142389307e-06 -7.782023352971060604e+01 1.752966917735680585e+00
