logz logzerr logvol nlive logl logwt insert_order
-1.908949240918180976e+02 9.139677122504564766e-01 -5.000000000000000971e-02 4.000000000000000000e+02 -1.834915063092778951e+02 -1.895342205959692023e+02 5.699999999999999512e-01
-1.893059062119555165e+02 1.169453184896182663e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -1.831861189816590638e+02 -1.892313332683503688e+02 1.175000000000000044e+00
-1.885747775801170008e+02 1.249867290975640977e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -1.811439994463396488e+02 -1.871917137330309515e+02 1.995000000000000107e+00
-1.869679232434728533e+02 1.088270217888358538e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -1.781778727149768429e+02 -1.842280870016681433e+02 1.745000000000000107e+00
-1.841655057807161313e+02 1.387754474191048804e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -1.759351720397123131e+02 -1.819878863264036113e+02 1.495000000000000107e+00
-1.818805479115252126e+02 1.943853760349287141e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -1.755320705487427233e+02 -1.815872848354340476e+02 1.094999999999999973e+00
-1.810300570932274411e+02 1.769741687996175594e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -1.721249321096129279e+02 -1.781826463963042499e+02 1.100000000000000006e-01
-1.781262714585077731e+02 2.421655658388201626e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -1.668728882640911593e+02 -1.729331025507824791e+02 1.179999999999999938e+00
-1.729275635418680679e+02 4.104123772640170920e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -1.667422051790688897e+02 -1.728049194657602072e+02 1.909999999999999920e+00
-1.721712153042775810e+02 2.351191825306650607e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -1.649223123742266921e+02 -1.709875266609180073e+02 1.604999999999999982e+00
-1.707204447843747346e+02 1.378124081411942425e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -1.639636207183696683e+02 -1.700313350050609813e+02 1.885000000000000009e+00
-1.696245222845469982e+02 8.479477337247035562e-01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.615190261015643785e+02 -1.675892403882556891e+02 1.719999999999999973e+00
-1.674664533164957447e+02 1.876252152491947101e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -1.594191378169540485e+02 -1.654918521036453569e+02 1.304999999999999938e+00
