weight logl phys_par
2.440943369248767725e-22 -1.154105662030263915e+02 8.172159478704503766e-01
1.276563161703432271e-21 -1.137536942645038920e+02 8.119849886546867124e-01
2.066286614686718465e-21 -1.132696126110052575e+02 8.104298046572437908e-01
9.029771784810449164e-21 -1.117923386072483254e+02 8.056052533627924284e-01
2.403549380330868174e-20 -1.108108340550468824e+02 8.023318450048482209e-01
2.448037744548672944e-20 -1.107899938253078602e+02 8.022617334963998426e-01
5.429712248621457503e-20 -1.099908944687095698e+02 7.995538613573340836e-01
1.051713109172087522e-19 -1.093272751481588614e+02 7.972755968882159205e-01
5.249144770136182447e-19 -1.077171303529625135e+02 7.916318269461840584e-01
4.664921118905221752e-18 -1.055300394973501312e+02 7.836854438962189695e-01
4.754931636028502897e-18 -1.055084281037628386e+02 7.836052202766394803e-01
8.431364630807267540e-18 -1.049331517855497395e+02 7.814569719435489059e-01
1.257986184946637778e-17 -1.045305131529231915e+02 7.799385384353308970e-01
8.312247441674407210e-17 -1.026397953068177742e+02 7.726370336886351220e-01
1.143322034309330275e-16 -1.023185021464550459e+02 7.713670180756160288e-01
1.203357968911400611e-16 -1.022648242801409992e+02 7.711539794276066617e-01
1.792273055983855069e-16 -1.018639555584518348e+02 7.695551160788873801e-01
2.454245012189573180e-16 -1.015471210531147932e+02 7.682814599001485112e-01
3.895923327021444829e-16 -1.010825095307236552e+02 7.663975208284142804e-01
7.666487526538756729e-16 -1.004030816755032589e+02 7.636069066405568595e-01
1.179480273623915709e-15 -9.996978124802234333e+01 7.618045017738541702e-01
1.833262284483848030e-15 -9.952625809449216376e+01 7.599407465052745447e-01
2.094152627271121316e-15 -9.939070614569740769e+01 7.593672661563117821e-01
3.824574237179766026e-15 -9.878590799285184687e+01 7.567859922417333740e-01
6.484411626878335099e-15 -9.825545405805610244e+01 7.544909717513536007e-01
8.308027486820920417e-15 -9.800513292890894945e+01 7.533976127628889685e-01
9.055159449847937893e-15 -9.791652044317430637e+01 7.530089538971940222e-01
2.324222676811623684e-14 -9.697138439981598879e+01 7.488096896329271557e-01
4.500255314498979311e-14 -9.630813591867743639e+01 7.458020834371078545e-01
1.290596152669487706e-13 -9.525208071193060277e+01 7.409041342513819073e-01
1.505577291079181816e-13 -9.509550855064109953e+01 7.401661037647502273e-01
2.081686361731250084e-13 -9.476900664134089425e+01 7.386169112390851277e-01
3.039469973165331131e-13 -9.438800180812074814e+01 7.367914108164312914e-01
6.793546448635958205e-13 -9.358121184752933175e+01 7.328608238067063629e-01
7.282411100951468230e-13 -9.350922295484431856e+01 7.325056888392843524e-01
8.055985846783455797e-13 -9.340576955884490928e+01 7.319940393126300737e-01
1.179753160385300551e-12 -9.302179463393053993e+01 7.300814991088038219e-01
1.430863747263308050e-12 -9.282632158342050843e+01 7.290995601407133098e-01
1.651826082259468521e-12 -9.268021847193736562e+01 7.283619042720456127e-01
2.554123350079316383e-12 -9.224189081114698752e+01 7.261293893738041128e-01
3.080476561552684582e-12 -9.205201555161826832e+01 7.251530810175614850e-01
3.483130224347116653e-12 -9.192666848516867617e+01 7.245054554403367320e-01
3.505887736502294998e-12 -9.191765609881807109e+01 7.244587954313973510e-01
1.480873524225992586e-11 -9.047438263868056652e+01 7.168136083649389034e-01
2.976296410562245424e-11 -8.977383505908304073e+01 7.129719428087365474e-01
4.396734638192722564e-11 -8.938115263368976571e+01 7.107786526692239093e-01
4.858156089527605690e-11 -8.927885581094449208e+01 7.102024260687433976e-01
4.965256656189948543e-11 -8.925454978216673396e+01 7.100652135518505936e-01
5.047960208130244447e-11 -8.923553052890963500e+01 7.099577654846316310e-01
5.555584940349261005e-11 -8.913721105407663003e+01 7.094011846681846922e-01
7.717925237089576012e-11 -8.880596919517329013e+01 7.075119191043790501e-01
1.199210359576220006e-10 -8.836276637191511441e+01 1.989631214253551050e-03
1.313674075771490295e-10 -8.826910182887564815e+01 7.044023219118219492e-01
1.435245917017217476e-10 -8.817809347315039759e+01 7.038692041898788609e-01
