,x,y,signal,bkg
120,29.198,1437.858,-72.0,1509.858
121,29.698,1577.565,68.0,1509.565
122,30.198,1436.272,-73.0,1509.272
123,30.698,1475.979,-33.0,1508.979
124,31.198,1459.687,-49.0,1508.687
125,31.698,1426.393,-82.0,1508.393
126,32.198,1565.101,57.0,1508.101
127,32.698,1517.808,10.0,1507.808
128,33.198,1538.5149999999999,31.0,1507.5149999999999
129,33.698,1558.222,51.0,1507.222
130,34.198,1543.929,37.0,1506.929
131,34.698,1578.636,72.0,1506.636
132,35.198,1600.344,94.0,1506.344
133,35.698,1634.0500000000002,128.0,1506.0500000000002
134,36.198,1617.758,112.0,1505.758
135,36.698,1606.4650000000001,101.0,1505.4650000000001
136,37.198,1637.172,132.0,1505.172
137,37.698,1677.879,173.0,1504.879
138,38.198,1742.587,238.0,1504.587
139,38.698,1861.2930000000001,357.0,1504.2930000000001
140,39.198,2068.001,564.0,1504.001
141,39.698,2205.708,702.0,1503.708
142,40.198,2359.415,856.0,1503.415
143,40.698,2592.1220000000003,1089.0,1503.122
144,41.198,2635.83,1133.0,1502.83
145,41.698,2729.536,1227.0,1502.536
146,42.198,2734.244,1232.0,1502.2440000000001
147,42.698,2571.95,1070.0,1501.9499999999998
148,43.198,2585.658,1084.0,1501.658
149,43.698,2529.365,1028.0,1501.365
150,44.198,2317.072,816.0,1501.072
151,44.698,2241.779,741.0,1500.779
152,45.198,2155.487,655.0,1500.487
153,45.698,1934.193,434.0,1500.193
154,46.198,1936.9009999999998,437.0,1499.9009999999998
155,46.698,1884.608,385.0,1499.608
156,47.198,1812.315,313.0,1499.315
157,47.698,1766.022,267.0,1499.022
158,48.198,1716.73,218.0,1498.73
159,48.698,1711.4360000000001,213.0,1498.4360000000001
160,49.198,1687.144,189.0,1498.144
161,49.698,1640.851,143.0,1497.851
162,50.198,1622.558,125.0,1497.558
163,50.698,1633.2649999999999,136.0,1497.2649999999999
164,51.198,1555.972,59.0,1496.972
165,51.698,1540.679,44.0,1496.679
166,52.198,1496.387,-0.0,1496.387
167,52.698,1505.0929999999998,9.0,1496.0929999999998
168,53.198,1503.801,8.0,1495.801
169,53.698,1506.508,11.0,1495.508
170,54.198,1548.2150000000001,53.0,1495.2150000000001
171,54.698,1495.922,1.0,1494.922
172,55.198,1548.63,54.0,1494.63
173,55.698,1555.336,61.0,1494.336
174,56.198,1567.0439999999999,73.0,1494.0439999999999
175,56.698,1546.751,53.0,1493.751
176,57.198,1486.458,-7.0,1493.458
177,57.698,1482.165,-11.0,1493.165
178,58.198,1536.872,44.0,1492.872
179,58.698,1504.5790000000002,12.0,1492.5790000000002
180,59.198,1530.287,38.0,1492.287
181,59.698,1522.993,31.0,1491.993
182,60.198,1446.701,-45.0,1491.701
183,60.698,1498.408,7.0,1491.408
184,61.198,1516.115,25.0,1491.115
185,61.698,1436.8220000000001,-54.0,1490.8220000000001
